Reksadana,Jenis,Resiko,Price,1M,1Y,3Y,AUM/VAL
Trimegah Dana Tetap Syariah,Reksa Dana Obligasi,Sedang,Rp1.381,1.12,8.39,19.25,0.84T
Eastspring Syariah Greater China Equity USD Kelas A,Reksa Dana Global,Sedang,Rp1,-6.17,7.52,-40.28,5.72M
Grow SRI KEHATI Kelas O,Reksa Dana Saham,Tinggi,Rp1.068,-5.37,6.85,0,121.02B
TRIM Dana Tetap 2 Kelas A,Reksa Dana Obligasi,Sedang,Rp3.202,5.1,6.25,15.33,0.92T
Grow Saham Indonesia Plus Kelas O,Reksa Dana Saham,Tinggi,Rp1.053,-3.43,5.33,0,50.33B
Sucorinvest Sharia Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.114,4.6,6.65,-3.57,1.18T
Sucorinvest Citra Dana Berimbang,Reksa Dana Campuran,Sedang,Rp2.408,-1.44,0,24.10,156.28B
Sucorinvest Premium Fund,Reksa Dana Campuran,Sedang,Rp1.588,2.1,0,31.97,2.63T
Sucorinvest Sharia Sukuk Fund,Reksa Dana Obligasi,Sedang,Rp1.179,5.6,5.87,17.67,1.79T
Danamas Stabil,Reksa Dana Obligasi,Sedang,Rp4.766,4.7,5.64,17.55,17.53T
Bahana Pendapatan Tetap Makara Prima kelas G,Reksa Dana Obligasi,Sedang,Rp3.314,3.1,6.35,11.39,0.82T
BRI Seruni Pasar Uang Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.322,4.9,5.77,12.71,145.52B
BRI Seruni Pasar Uang III,Reksa Dana Pasar Uang,Rendah,Rp1.744,4.6,5.25,12.25,1.65T
Avrist Ada Kas Mutiara,Reksa Dana Pasar Uang,Rendah,Rp1.456,4.2,5.49,13.48,222.21B
Danamas Pasti,Reksa Dana Obligasi,Sedang,Rp4.807,4.5,5.42,16.53,238.21B
Bahana Likuid Plus,Reksa Dana Pasar Uang,Rendah,Rp1.421,5.2,5.32,13.03,1.72T
Bahana Likuid Syariah Kelas G,Reksa Dana Pasar Uang,Rendah,Rp1.196,4.5,5.19,12.30,440.05B
Trimegah Kas Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.415,4.5,5.26,13.49,1.55T
TRAM Infrastructure Plus,Reksa Dana Saham,Tinggi,Rp1.485,3.29,8.60,19.50,19.30B
TRIM Kas 2 Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.882,4.5,0,13.39,3.28T
Majoris Pasar Uang Syariah Indonesia,Reksa Dana Pasar Uang,Rendah,Rp1.365,4.3,0,14.03,1.07T
Sucorinvest Sharia Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.374,5.0,4.91,13.08,2.46T
BRI Seruni Pasar Uang II Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.773,3.9,4.78,10.70,2.73T
Mandiri Investa Syariah Berimbang,Reksa Dana Campuran,Sedang,Rp3.798,6.0,5.00,8.35,37.54B
Majoris Pasar Uang Indonesia,Reksa Dana Pasar Uang,Rendah,Rp1.495,4.2,4.82,13.57,61.22B
ABF Indonesia Bond Index Fund,Reksa Dana Obligasi,Sedang,Rp54.169,2.4,6.69,15.00,6.57T
Majoris Sukuk Negara Indonesia,Reksa Dana Obligasi,Sedang,Rp1.415,7.0,4.57,9.90,273.31B
Bahana Dana Likuid Kelas G,Reksa Dana Pasar Uang,Rendah,Rp1.855,4.3,4.72,10.97,3.79T
Danamas Rupiah Plus,Reksa Dana Pasar Uang,Rendah,Rp1.753,4.0,4.75,13.06,2.04T
Sucorinvest Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.817,5.1,4.95,13.31,3.95T
BNI-AM ITB Harmoni,Reksa Dana Obligasi,Sedang,Rp1.456,2.2,6.37,12.16,95.06B
Manulife Dana Kas II Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.784,4.7,4.73,10.88,2.64T
BNI-AM Short Duration Bonds Index Kelas R1,Reksa Dana Obligasi,Sedang,Rp1.066,9.0,0,0,6.94B
Principal Cash Fund,Reksa Dana Pasar Uang,Rendah,Rp1.845,3.3,4.49,10.75,90.52B
Batavia Dana Kas Maxima,Reksa Dana Pasar Uang,Rendah,Rp1.781,3.8,4.47,10.72,12.02T
BNI-AM Dana Pendapatan Tetap Makara Investasi,Reksa Dana Obligasi,Sedang,Rp1.244,2.3,5.25,13.26,160.97B
Manulife Dana Kas Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.270,3.9,4.38,9.67,237.37B
Eastspring Syariah Fixed Income Amanah Kelas A,Reksa Dana Obligasi,Sedang,Rp1.482,6.5,4.58,9.34,0.70T
Mandiri Investa Pasar Uang Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.725,3.9,4.32,9.44,8.24T
BNI-AM Dana Likuid Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.886,3.8,4.18,10.87,322.92B
BNI-AM Dana Lancar Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.765,3.9,4.36,11.20,110.70B
Mandiri Investa Dana Syariah Kelas A,Reksa Dana Obligasi,Sedang,Rp4.367,4.9,4.48,9.99,124.73B
Mandiri Pasar Uang Syariah Ekstra,Reksa Dana Pasar Uang,Rendah,Rp1.216,33,4.23,9.48,42.67B
Schroder Dana Likuid Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.149,4.0,4.24,8.83,13.94B
Sucorinvest Stable Fund,Reksa Dana Obligasi,Sedang,Rp1.332,3.8,4.36,14.85,2.65T
Schroder Dana Likuid,Reksa Dana Pasar Uang,Rendah,Rp1.605,3.2,4.18,8.56,1.09T
Eastspring Investments Cash Reserve Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.669,3.0,3.98,8.33,33.55B
Batavia Dana Likuid,Reksa Dana Pasar Uang,Rendah,Rp1.339,3.4,3.57,7.49,378.98B
BNP Paribas Pesona Syariah,Reksa Dana Saham,Tinggi,Rp2.504,4.39,6.20,3.42,341.24B
BNP Paribas Prima II Kelas RK1,Reksa Dana Obligasi,Sedang,Rp3.090,2.2,0,9.86,0.76T
BNP Paribas Rupiah Plus,Reksa Dana Pasar Uang,Rendah,Rp2.453,3.4,3.56,7.45,1.04T
Manulife Obligasi Unggulan Kelas A,Reksa Dana Obligasi,Sedang,Rp2.737,-6.7,4.65,11.16,2.52T
Batavia Technology Sharia Equity USD,Reksa Dana Global,Sedang,Rp1,5.33,31.98,0,76.09M
BNI-AM Dana Pendapatan Tetap Syariah Ardhani,Reksa Dana Obligasi,Sedang,Rp1.596,5.9,3.98,10.77,330.24B
Batavia Dana Obligasi Ultima,Reksa Dana Obligasi,Sedang,Rp2.901,0.08,4.99,8.57,1.09T
Avrist Prime Bond Fund,Reksa Dana Obligasi,Sedang,Rp1.826,1.4,5.56,11.10,83.99B
Batavia Obligasi Platinum Plus,Reksa Dana Obligasi,Sedang,Rp1.138,1.3,5.84,12.48,121.30B
BNP Paribas Sukuk Negara Kelas RK1,Reksa Dana Obligasi,Sedang,Rp1.028,4.6,2.81,0,0.95B
BRI Melati Pendapatan Utama,Reksa Dana Obligasi,Sedang,Rp1.878,-0.6,4.88,8.40,53.29B
Eastspring Syariah Money Market Khazanah Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.163,2.7,3.32,6.82,194.29B
Jarvis Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.237,3.2,3.32,9.18,65.20B
Eastspring Investments Yield Discovery Kelas A,Reksa Dana Obligasi,Sedang,Rp1.603,-1.0,4.42,5.81,94.26B
Eastspring IDR Fixed Income Fund Kelas A,Reksa Dana Obligasi,Sedang,Rp1.738,1.0,0,10.45,5.94T
Bahana MES Syariah Fund Kelas G,Reksa Dana Obligasi,Sedang,Rp1.529,6.6,4.20,9.53,179.30B
Schroder Dana Mantap Plus II,Reksa Dana Obligasi,Sedang,Rp2.855,-6.7,4.53,10.16,1.81T
TRAM Strategic Plus Kelas A,Reksa Dana Obligasi,Sedang,Rp2.016,-1.3,4.77,10.19,84.33B
TRIM Syariah Saham,Reksa Dana Saham,Tinggi,Rp1.868,-5.0,4.75,1.88,115.61B
Manulife Obligasi Negara Indonesia II Kelas A,Reksa Dana Obligasi,Sedang,Rp2.958,2.5,4.89,10.15,2.60T
BNP Paribas Prima USD Kelas RK1,Reksa Dana Obligasi,Sedang,Rp1,-1.13,6.66,-3.35,86.36M
Schroder Global Sharia Equity Fund USD,Reksa Dana Global,Sedang,Rp2,9.1,24.17,09.03,52.99M
BNP Paribas Cakra Syariah USD Kelas RK1,Reksa Dana Global,Sedang,Rp45,1.06,22.72,11.58,73.82M
BNP Paribas Greater China Equity Syariah USD,Reksa Dana Global,Sedang,Rp1,-4.00,9.44,-35.07,113.45M
Sucorinvest Maxi Fund,Reksa Dana Saham,Tinggi,Rp1.856,-1.1,8.52,10.48,135.99B
Manulife USD Fixed Income Kelas A,Reksa Dana Obligasi,Sedang,Rp1,-8.1,4.50,-3.21,25.36M
Mandiri Investa Dana Utama Kelas D,Reksa Dana Obligasi,Sedang,Rp2.445,2.9,2.72,-0.65,1.07B
Schroder USD Bond Fund,Reksa Dana Obligasi,Sedang,Rp2,-9.9,5.19,-2.05,57.70M
Schroder Dana Andalan II,Reksa Dana Obligasi,Sedang,Rp1.086,2.3,1.58,-1.06,471.81B
TRIM Kapital Plus,Reksa Dana Saham,Tinggi,Rp4.453,-1.71,0,18.19,310.74B
TRAM Consumption Plus Kelas A,Reksa Dana Saham,Tinggi,Rp1.886,-3.66,0,6.57,178.55B
Schroder Syariah Balanced Fund,Reksa Dana Campuran,Sedang,Rp2.631,-4.1,2.67,6.64,82.98B
Grow Dana Optima Kas Utama,Reksa Dana Pasar Uang,Rendah,Rp1.003,3.2,0.32,0,31.78B
BNI-AM IDX PEFINDO Prime Bank Kelas R1,Reksa Dana Saham,Tinggi,Rp907,-7.21,-9.34,0,26.12B
BRI MSCI Indonesia ESG Screened Kelas A,Reksa Dana Saham,Tinggi,Rp997,-6.55,-3.17,0,66.25B
TRIM Kapital,Reksa Dana Saham,Tinggi,Rp11.076,-3.10,-4.55,6.40,340.78B
Eastspring IDX ESG Leaders Plus Kelas A,Reksa Dana Saham,Tinggi,Rp942,-5.36,3.19,0,101.04B
Batavia Index PEFINDO I-Grade,Reksa Dana Saham,Tinggi,Rp984,-8.93,-1.59,0,179.98B
Trimegah FTSE Indonesia Low Volatility Factor Index,Reksa Dana Saham,Tinggi,Rp1.195,-5.90,-2.23,13.81,135.36B
BNI-AM Indeks IDX30,Reksa Dana Saham,Tinggi,Rp787,-6.08,-0.5,-2.94,1.37T
Manulife Dana Saham Kelas A,Reksa Dana Saham,Tinggi,Rp9.372,-5.23,-3.06,-19.99,2.06T
Principal Index IDX30 Kelas O,Reksa Dana Saham,Tinggi,Rp1.280,-6.00,1.5,-3.91,64.77B
BNI-AM SRI KEHATI Kelas R1,Reksa Dana Saham,Tinggi,Rp927,-5.76,-1.94,0,92.99B
BNP Paribas SRI KEHATI,Reksa Dana Saham,Tinggi,Rp1.090,-3.37,-2.57,13.63,3.36T
