Reksadana,Jenis,Resiko,Price,1M,YTD,1Y,3Y,AUM/VAL
ABF Indonesia Bond Index Fund,Reksa Dana Obligasi,Sedang,Rp54.169,0.24%,4.11%,6.69%,15.00%,6.57T
Avrist Ada Kas Mutiara,Reksa Dana Pasar Uang,Rendah,Rp1.456,0.42%,4.60%,5.49%,13.48%,222.21B
Avrist Ada Saham Blue Safir Kelas A,Reksa Dana Saham ,Tinggi,Rp1.043,-5.77%,-3.04%,-1.30%,3.04%,109.10B
Avrist IDX30,Reksa Dana Saham ,Tinggi,Rp912,-3.28%,-4.02%,1.07%,0.27%,141.99B
Avrist Prime Bond Fund,Reksa Dana Obligasi,Sedang,Rp1.826,0.14%,2.93%,5.56%,11.10%,83.99B
Bahana Dana Likuid Kelas G,Reksa Dana Pasar Uang,Rendah,Rp1.855,0.43%,4.08%,4.72%,10.97%,3.79T
Bahana Likuid Plus,Reksa Dana Pasar Uang,Rendah,Rp1.421,0.52%,4.55%,5.32%,13.03%,1.72T
Bahana Likuid Syariah Kelas G,Reksa Dana Pasar Uang,Rendah,Rp1.196,0.45%,4.49%,5.19%,12.30%,440.05B
Bahana MES Syariah Fund Kelas G,Reksa Dana Obligasi,Sedang,Rp1.529,0.66%,2.62%,4.20%,9.53%,179.30B
Bahana Pendapatan Tetap Makara Prima kelas G,Reksa Dana Obligasi,Sedang,Rp3.314,0.31%,4.76%,6.35%,11.39%,0.82T
Bahana Primavera 99 Kelas G,Reksa Dana Saham ,Tinggi,Rp1.281,-6.22%,-2.80%,2.95%,7.27%,20.55B
Batavia Dana Kas Maxima,Reksa Dana Pasar Uang,Rendah,Rp1.781,0.38%,3.84%,4.47%,10.72%,12.02T
Batavia Dana Likuid,Reksa Dana Pasar Uang,Rendah,Rp1.339,0.34%,3.08%,3.57%,7.49%,378.98B
Batavia Dana Obligasi Ultima,Reksa Dana Obligasi,Sedang,Rp2.901,0.08%,2.94%,4.99%,8.57%,1.09T
Batavia Dana Saham,Reksa Dana Saham ,Tinggi,Rp62.344,-5.09%,-2.69%,1.37%,5.19%,2.03T
Batavia Dana Saham Syariah,Reksa Dana Saham ,Tinggi,Rp1.637,-3.46%,-3.55%,-1.06%,-4.52%,315.63B
Batavia Index PEFINDO I-Grade,Reksa Dana Saham ,Tinggi,Rp984,-8.93%,-7.64%,-1.59%,N/A,179.98B
Batavia Obligasi Platinum Plus,Reksa Dana Obligasi,Sedang,Rp1.138,0.13%,2.83%,5.84%,12.48%,121.30B
Batavia Technology Sharia Equity USD,Reksa Dana Global,Sedang,Rp1,5.33%,23.48%,31.98%,N/A,76.09M
BNI-AM Dana Lancar Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.765,0.39%,3.67%,4.36%,11.20%,110.70B
BNI-AM Dana Likuid Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.886,0.38%,3.68%,4.18%,10.87%,322.92B
BNI-AM Dana Pendapatan Tetap Makara Investasi,Reksa Dana Obligasi,Sedang,Rp1.244,0.23%,3.84%,5.25%,13.26%,160.97B
BNI-AM Dana Pendapatan Tetap Syariah Ardhani,Reksa Dana Obligasi,Sedang,Rp1.596,0.59%,2.97%,3.98%,10.77%,330.24B
BNI-AM Dana Saham Inspiring Equity Fund,Reksa Dana Saham ,Tinggi,Rp955,-5.87%,-4.40%,-0.22%,-3.50%,1.26T
BNI-AM IDX PEFINDO Prime Bank Kelas R1,Reksa Dana Saham ,Tinggi,Rp907,-7.21%,-9.34%,-9.34%,N/A,26.12B
BNI-AM Indeks IDX30,Reksa Dana Saham ,Tinggi,Rp787,-6.08%,-6.19%,-0.05%,-2.94%,1.37T
BNI-AM ITB Harmoni,Reksa Dana Obligasi,Sedang,Rp1.456,0.22%,4.06%,6.37%,12.16%,95.06B
BNI-AM PEFINDO I-Grade Kelas R1,Reksa Dana Saham ,Tinggi,Rp899,-9.26%,-10.09%,-10.09%,N/A,1.04B
BNI-AM Short Duration Bonds Index Kelas R1,Reksa Dana Obligasi,Sedang,Rp1.066,0.09%,3.98%,6.04%,N/A,6.94B
BNI-AM SRI KEHATI Kelas R1,Reksa Dana Saham ,Tinggi,Rp927,-5.76%,-5.98%,-1.94%,N/A,92.99B
BNP Paribas Cakra Syariah USD Kelas RK1,Reksa Dana Global,Sedang,Rp45,1.06%,15.66%,22.72%,11.58%,73.82M
BNP Paribas Ekuitas,Reksa Dana Saham ,Tinggi,Rp18.806,-5.56%,-3.29%,0.65%,6.49%,0.76T
BNP Paribas Greater China Equity Syariah USD,Reksa Dana Global,Sedang,Rp1,-4.00%,14.83%,9.44%,-35.07%,113.45M
BNP Paribas Infrastruktur Plus,Reksa Dana Saham ,Tinggi,Rp2.902,-5.77%,-2.42%,1.62%,1.31%,0.52T
BNP Paribas Pesona,Reksa Dana Saham ,Tinggi,Rp26.196,-5.31%,-2.63%,1.41%,1.56%,396.12B
BNP Paribas Pesona Syariah,Reksa Dana Saham ,Tinggi,Rp2.504,-4.39%,3.04%,6.20%,3.42%,341.24B
BNP Paribas Prima II Kelas RK1,Reksa Dana Obligasi,Sedang,Rp3.090,0.22%,3.04%,5.06%,9.86%,0.76T
BNP Paribas Prima USD Kelas RK1,Reksa Dana Obligasi,Sedang,Rp1,-1.13%,2.03%,6.66%,-3.35%,86.36M
BNP Paribas Rupiah Plus,Reksa Dana Pasar Uang,Rendah,Rp2.453,0.34%,3.04%,3.56%,7.45%,1.04T
BNP Paribas Solaris,Reksa Dana Saham ,Tinggi,Rp1.794,-5.71%,-3.04%,1.57%,-16.82%,173.17B
BNP Paribas SRI KEHATI,Reksa Dana Saham ,Tinggi,Rp1.090,-3.37%,-5.97%,-2.57%,13.63%,3.36T
BNP Paribas Sukuk Negara Kelas RK1,Reksa Dana Obligasi,Sedang,Rp1.028,0.46%,2.81%,2.81%,N/A,0.95B
BRI Indeks Syariah,Reksa Dana Saham ,Tinggi,Rp2.285,-2.24%,-3.44%,1.23%,-3.27%,32.75B
BRI Mawar Konsumer 10 Kelas A,Reksa Dana Saham ,Tinggi,Rp1.577,-4.13%,-1.59%,1.93%,-0.45%,234.88B
BRI Melati Pendapatan Utama,Reksa Dana Obligasi,Sedang,Rp1.878,-0.06%,2.75%,4.88%,8.40%,53.29B
BRI MSCI Indonesia ESG Screened Kelas A,Reksa Dana Saham ,Tinggi,Rp997,-6.55%,-8.55%,-3.17%,N/A,66.25B
BRI Seruni Pasar Uang II Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.773,0.39%,4.15%,4.78%,10.70%,2.73T
BRI Seruni Pasar Uang III,Reksa Dana Pasar Uang,Rendah,Rp1.744,0.46%,4.62%,5.25%,12.25%,1.65T
BRI Seruni Pasar Uang Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.322,0.49%,4.71%,5.77%,12.71%,145.52B
Danamas Pasti,Reksa Dana Obligasi,Sedang,Rp4.807,0.45%,4.59%,5.42%,16.53%,238.21B
Danamas Rupiah Plus,Reksa Dana Pasar Uang,Rendah,Rp1.753,0.40%,4.08%,4.75%,13.06%,2.04T
Danamas Stabil,Reksa Dana Obligasi,Sedang,Rp4.766,0.47%,4.78%,5.64%,17.55%,17.53T
Eastspring IDR Fixed Income Fund Kelas A,Reksa Dana Obligasi,Sedang,Rp1.738,0.10%,2.69%,5.05%,10.45%,5.94T
Eastspring IDX ESG Leaders Plus Kelas A,Reksa Dana Saham ,Tinggi,Rp942,-5.36%,-7.91%,3.19%,N/A,101.04B
Eastspring Investments Cash Reserve Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.669,0.30%,3.23%,3.98%,8.33%,33.55B
Eastspring Investments Value Discovery Kelas A,Reksa Dana Saham ,Tinggi,Rp1.323,-3.66%,-0.49%,3.39%,-0.55%,398.49B
Eastspring Investments Yield Discovery Kelas A,Reksa Dana Obligasi,Sedang,Rp1.603,-0.10%,2.70%,4.42%,5.81%,94.26B
Eastspring Syariah Fixed Income Amanah Kelas A,Reksa Dana Obligasi,Sedang,Rp1.482,0.65%,3.70%,4.58%,9.34%,0.70T
Eastspring Syariah Greater China Equity USD Kelas A,Reksa Dana Global,Sedang,Rp1,-6.17%,6.88%,7.52%,-40.28%,5.72M
Eastspring Syariah Money Market Khazanah Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.163,0.27%,2.75%,3.32%,6.82%,194.29B
Grow Dana Optima Kas Utama,Reksa Dana Pasar Uang,Rendah,Rp1.003,0.32%,0.32%,0.32%,N/A,31.78B
Grow Obligasi Optima Dinamis Kelas O,Reksa Dana Obligasi,Sedang,Rp997,0.30%,-0.33%,-0.33%,N/A,42.32B
Grow Saham Indonesia Plus Kelas O,Reksa Dana Saham ,Tinggi,Rp1.053,-3.43%,5.33%,5.33%,N/A,50.33B
Grow SRI KEHATI Kelas O,Reksa Dana Saham ,Tinggi,Rp1.068,-5.37%,6.85%,6.85%,N/A,121.02B
Jarvis Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.771,-0.83%,-1.29%,2.24%,-9.09%,166.37B
Jarvis Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.237,0.32%,2.74%,3.32%,9.18%,65.20B
